,year,state,r_win,d_win,r_votes,d_votes
364,1990,IOWA,4.0,2.0,385003.0,400852.0
365,1990,KANSAS,3.0,2.0,387180.0,393671.0
366,1990,KENTUCKY,3.0,4.0,397388.0,353439.0
367,1990,LOUISIANA,4.0,4.0,4.0,105856.0
368,1990,MAINE,1.0,1.0,232540.0,284421.0
369,1990,MARYLAND,3.0,5.0,517386.0,565669.0
370,1990,MASSACHUSETTS,1.0,10.0,566923.0,1420422.0
371,1990,MICHIGAN,7.0,11.0,1089299.0,1321449.0
372,1990,MINNESOTA,2.0,0.0,736497.0,0.0
373,1990,MISSISSIPPI,0.0,5.0,69216.0,299286.0
374,1990,MISSOURI,3.0,6.0,624602.0,727950.0
375,1990,MONTANA,1.0,1.0,160286.0,157148.0
376,1990,NEBRASKA,2.0,1.0,309106.0,276724.0
377,1990,NEVADA,1.0,1.0,150885.0,144231.0
378,1990,NEW HAMPSHIRE,1.0,1.0,148909.0,141042.0
379,1990,NEW JERSEY,6.0,8.0,910931.0,836944.0
380,1990,NEW MEXICO,2.0,1.0,213803.0,145531.0
381,1990,NEW YORK,13.0,21.0,1458528.0,1760428.0
382,1990,NORTH CAROLINA,4.0,7.0,935054.0,1076340.0
383,1990,NORTH DAKOTA,0.0,1.0,81443.0,152530.0
384,1990,OHIO,10.0,11.0,1590381.0,1806626.0
385,1990,OKLAHOMA,2.0,4.0,337590.0,519047.0
386,1990,OREGON,1.0,4.0,342246.0,667258.0
387,1990,PENNSYLVANIA,12.0,11.0,1552475.0,1292717.0
388,1990,RHODE ISLAND,1.0,1.0,164916.0,181949.0
389,1990,SOUTH CAROLINA,2.0,4.0,274650.0,382939.0
390,1990,SOUTH DAKOTA,0.0,1.0,83484.0,173814.0
391,1990,TENNESSEE,3.0,6.0,288633.0,369294.0
392,1990,TEXAS,8.0,19.0,1498096.0,1763432.0
393,1990,UTAH,1.0,2.0,191067.0,233821.0
394,1990,VERMONT,0.0,0.0,82938.0,6315.0
395,1990,VIRGINIA,4.0,6.0,410941.0,662800.0
396,1990,WASHINGTON,3.0,5.0,596407.0,696275.0
397,1990,WEST VIRGINIA,0.0,4.0,123311.0,251298.0
398,1990,WISCONSIN,5.0,4.0,651569.0,597332.0
399,1990,WYOMING,1.0,0.0,87078.0,70977.0
400,1992,ALABAMA,3.0,4.0,643150.0,895601.0
401,1992,ALASKA,1.0,0.0,111849.0,102378.0
402,1992,ARIZONA,3.0,3.0,740047.0,582317.0
403,1992,ARKANSAS,2.0,2.0,356900.0,525197.0
404,1992,CALIFORNIA,22.0,30.0,4365155.0,5446965.0
405,1992,COLORADO,4.0,2.0,757666.0,691479.0
406,1992,CONNECTICUT,4.0,2.0,699155.0,501887.0
407,1992,DELAWARE,1.0,0.0,153037.0,117426.0
408,1992,FLORIDA,13.0,10.0,2510726.0,2256681.0
409,1992,GEORGIA,4.0,7.0,999182.0,1214792.0
410,1992,HAWAII,0.0,2.0,81645.0,260786.0
411,1992,IDAHO,1.0,1.0,230766.0,222435.0
412,1992,ILLINOIS,8.0,12.0,2096717.0,2677685.0
413,1992,INDIANA,3.0,7.0,998334.0,1205869.0
414,1992,IOWA,4.0,1.0,729496.0,492843.0
